# Luiza script for GLORIA demonstrator started at Mon Apr 8 11:52:34 CEST 2013 
# Input arguments are: 98.7427872 15.33213114 1.5 0 1 
# Job number is 000316 
#================================================
# HJD        Mag        MagError   
#                                  
2454881.62740268    7.07527  0.0367198 
2454855.71669681    6.86054   0.111171 
2454855.71804456    6.88547  0.0826704 
2454855.72130846    6.88087   0.080846 
2454855.72432894    6.88208  0.0790553 
2454855.72723372    6.86155  0.0858777 
2454881.61116931    7.10955  0.0998078 
2454881.61251153    7.11351  0.0947143 
2454881.61563641    7.11776   0.102142 
2454881.61863386    7.11394  0.0990383 
2454881.62153839    7.11327  0.0992594 
2454881.62446636     7.1081  0.0958342 
2454881.62739439    7.11904  0.0899443 
2454464.85516643    7.33004  0.0687357 
2454464.85624036    7.36326  0.0841003 
2454479.81148813    7.29286  0.0738503 
2454479.81271254    7.34391  0.0493526 
2454557.56929262    7.14166  0.0614976 
2454557.57034457    7.13889  0.0516062 
2454557.57385145    7.13815   0.058326 
2454557.57720783    7.13972  0.0580459 
2454557.58056423    7.15618  0.0571089 
2454557.58392062     7.1567   0.061018 
2454557.587277    7.13189  0.0628153 
2454558.58494039    7.21143   0.100109 
2454558.58591229     7.2688   0.144583 
2454795.70373332    7.24998  0.0653472 
2454795.70515462    7.25334  0.0551366 
2454857.61439904    7.06572  0.0520285 
2454857.61577673    7.07033  0.0485836 
2454857.75510817    7.10544  0.0475553 
2454857.75673426    7.08441  0.0436406 
2454858.61836586    7.21501  0.0549911 
2454858.6195681    7.18883  0.0570222 
2454858.62325978    7.18945  0.0566719 
2454858.62617633    7.19847  0.0610502 
2454858.66839813    7.20449   0.056638 
2454858.66954995    7.19647  0.0513045 
2454858.67312649    7.19892  0.0515608 
2454858.67898196    7.19095   0.053485 
2454858.68199089    7.20023  0.0490304 
2454858.73711325    7.22209  0.0515155 
2454858.74018037    7.20617  0.0519202 
2454858.74309614    7.22012  0.0545558 
2454858.7460012    7.19689  0.0432895 
2454859.54263729    7.33599  0.0478666 
2454859.54658409    7.31602  0.0475721 
2454859.67068149    7.37534  0.0557977 
2454859.67386396    7.35025  0.0457521 
2454859.67755608    7.35474  0.0552462 
2454859.73604441     7.3627  0.0538714 
2454859.73921585    7.35114  0.0467399 
2454859.74222449    7.34016  0.0479041 
2454860.54722789    7.36135  0.0612745 
2454860.5484547    7.40258  0.0569002 
2454860.55273703    7.37919  0.0555706 
2454860.55575724    7.38984  0.0559272 
2454860.6813587    7.35808  0.0572816 
2454860.68453015    7.35876  0.0463219 
2454860.68753872    7.36068  0.0546055 
2454860.69046699    7.36437  0.0598191 
2454860.69338334    7.36403  0.0582341 
2454860.69629969    7.37312  0.0566517 
2454860.69922758    7.37234  0.0540359 
2454860.74724273    7.29548  0.0445002 
2454860.74837757    7.35696  0.0531929 
2454891.66362917     7.3875  0.0555346 
2454891.66508937    7.40024  0.0607019 
2454891.66853838    7.39113  0.0498791 
2454921.57766576    7.15623  0.0491127 
2454921.58059373     7.1463  0.0460143 
2454921.58361468    7.12865  0.0517308 
2454941.52115399    6.74458  0.0475669 
2454941.52204497    6.71959  0.0529049 
2454944.5252598    7.03638  0.0504222 
2454944.52648663    7.04424  0.0484045 
2454944.52964638    7.03509  0.0436204 
2454944.53266726    7.03907  0.0429643 
2454944.53559554    7.03779  0.0496176 
2454464.85514565    7.33034   0.083245 
2454464.85623124    7.32447   0.125491 
2454479.81147829    7.36079  0.0775282 
2454479.81270266    7.36005  0.0778707 
2454557.56928951    7.16599  0.0986197 
2454557.57034146    7.16284  0.0922442 
2454557.57384834    7.16304  0.0931352 
2454557.57720474    7.16585  0.0953783 
2454557.58056117    7.17274  0.0918099 
2454557.58391755    7.16462  0.0940839 
2454557.58727395    7.15625  0.0889463 
2454795.70372796    7.28797   0.138363 
2454795.70513776    7.28734   0.130038 
2454857.6143776    7.09117   0.137969 
2454857.61576684    7.11446   0.149586 
2454857.75509848    7.08058   0.117341 
2454857.75672461    7.13251    0.13542 
2454858.61835599    7.24083   0.155183 
2454858.61955823     7.2262   0.134578 
2454858.62324992     7.2308   0.142728 
2454858.62616649    7.22128   0.130317 
2454858.66838866    7.23727   0.148898 
2454858.66954046    7.23441   0.140518 
2454858.67311696    7.23714   0.136939 
2454858.67604426    7.22356   0.138695 
2454858.67896058    7.22728    0.13938 
2454858.68198147    7.23709   0.137568 
2454858.73601396    7.20763   0.163757 
2454858.73710377    7.25619    0.13572 
2454858.74017088    7.24794   0.125379 
2454858.74308667    7.23765   0.128202 
2454858.74599149    7.24272   0.123129 
2454859.54138928    7.35872   0.154346 
2454859.54262808      7.374   0.129968 
2454859.54657498    7.37518   0.139446 
2454859.66954497    7.39727   0.137666 
2454859.67067195    7.38732   0.142744 
2454859.67384284    7.39375   0.139992 
2454859.67754652    7.39405   0.139007 
2454859.73603501    7.40265   0.125093 
2454859.73920637    7.40125   0.126489 
2454859.74221511    7.38677    0.12897 
2454860.54844528    7.40929   0.133228 
2454860.55272761    7.41181   0.150438 
2454860.55574781    7.41535   0.131345 
2454860.68025603    7.36838    0.15592 
2454860.68134926    7.39453   0.136996 
2454860.68452059    7.40931   0.140921 
2454860.68752945    7.40278   0.138568 
2454860.69045759    7.39153   0.142488 
2454860.69337394    7.38634       0.14 
2454860.6962903    7.39932   0.133289 
2454860.6992182     7.4035   0.136917 
2454860.74835688    7.38213   0.144982 
2454891.66362217    7.40477   0.154237 
2454891.66507081    7.44201   0.150797 
2454891.6685314    7.36328   0.169962 
2454921.57337075    7.16532   0.193908 
2454921.57451457    7.18218   0.150724 
2454921.57766275    7.19131   0.147603 
2454921.58059067    7.18984   0.140195 
2454921.58361164    7.16909   0.142529 
2454941.52065644    6.76073   0.141334 
2454941.52206825    6.75552   0.141614 
2454944.52573494    7.05898   0.154376 
2454944.52645251    7.06717   0.138876 
2454944.52964698    7.06853   0.136988 
2454944.53266786    7.05243   0.160744 
2454944.53559614     7.0586   0.155006 
2454170.6389496    7.19107  0.0659419 
2454456.8374018    7.39198  0.0722032 
2454456.83851085     7.4083  0.0667271 
2454456.84078075    7.36571  0.0456912 
2454483.75050889    6.85924   0.065158 
2454483.75361077    6.86842  0.0674863 
2454483.75650361    6.87726  0.0660744 
2454483.75940837    6.85326    0.06106 
2454483.76230191    6.85686  0.0570623 
2454483.7652642    6.86122  0.0604109 
2454483.76815771    6.83662  0.0520855 
2454494.53081344    7.10299   0.105433 
2454494.53211223    7.16205   0.062419 
2454494.53523714     7.1436   0.057118 
2454494.53712477    7.14547  0.0562557 
2454494.53727398    7.14274  0.0528025 
2454494.53741409    7.15904  0.0570053 
2454494.54031866    7.16108  0.0542003 
2454548.48526024    6.87975   0.206906 
2454548.48624569    6.90618   0.115038 
2454548.48970629    6.93171   0.142292 
2454548.49306268    6.88695  0.0897325 
2454549.48523596    7.02812  0.0803764 
2454549.48634701    7.11241  0.0712071 
2454549.48978457    7.10907  0.0595204 
2454549.4931409    7.10158   0.059258 
2454549.49650884     7.0969  0.0633532 
2454560.51911355    7.27486  0.0710894 
2454560.52011999    7.17952  0.0533091 
2454560.52529358      7.169  0.0604928 
2454560.52864998    7.15688  0.0520127 
2454560.5320527    7.17171   0.053934 
2454560.53540913    7.17977  0.0613439 
2454560.53876553    7.17432  0.0535782 
2454560.54212193    7.16526  0.0547689 
2454852.54217068    7.38422  0.0460481 
2454852.54345674    7.41243  0.0593799 
2454866.68496969    7.19135  0.0480559 
2454866.68595866    7.21007  0.0543463 
2454866.68909523    7.21839  0.0458514 
2454866.69201121    7.22068  0.0537462 
2454866.69640938    7.23312  0.0544163 
2454456.83739204    7.37088  0.0693061 
2454456.8384895    7.43056  0.0610274 
